lr,epochs,reg,error
0.0001,100,0.01,0.58134
0.0001,100,0.5,0.9346399999999999
0.0001,100,1.0,0.95364
0.0001,100,10.0,0.99616
0.0001,200,0.01,0.58016
0.0001,200,0.5,0.93514
0.0001,200,1.0,0.9541000000000001
0.0001,200,10.0,0.98702
0.0001,500,0.01,0.57598
0.0001,500,0.5,0.93164
0.0001,500,1.0,0.94975
0.0001,500,10.0,0.96706
0.001,100,0.01,0.56872
0.001,100,0.5,0.9343600000000001
0.001,100,1.0,0.95314
0.001,100,10.0,0.99634
0.001,200,0.01,0.5542
0.001,200,0.5,0.93498
0.001,200,1.0,0.9545199999999999
0.001,200,10.0,0.98628
0.001,500,0.01,0.51656
0.001,500,0.5,0.93484
0.001,500,1.0,0.95328
0.001,500,10.0,0.9653600000000001
0.01,100,0.01,0.45702
0.01,100,0.5,0.9351800000000001
0.01,100,1.0,0.95508
0.01,100,10.0,0.9972
0.01,200,0.01,0.3808
0.01,200,0.5,0.9302400000000001
0.01,200,1.0,0.95168
0.01,200,10.0,0.98408
0.01,500,0.01,0.3124
0.01,500,0.5,0.93018
0.01,500,1.0,0.94644
0.01,500,10.0,0.95878
0.05,100,0.01,0.31178
0.05,100,0.5,0.92336
0.05,100,1.0,0.9443999999999999
0.05,100,10.0,0.9979800000000001
0.05,200,0.01,0.29413999999999996
0.05,200,0.5,0.92376
0.05,200,1.0,0.94188
0.05,200,10.0,0.9869
0.05,500,0.01,0.2919
0.05,500,0.5,0.91468
0.05,500,1.0,0.94052
0.05,500,10.0,0.9386800000000001
