C,gamma,error,gamma_num
1.0,0.0001,0.20844000000000001,0.0001
1.0,scale,0.06638,0.001137
1.0,0.01,0.15198,0.01
1.0,1,0.96318,1.0
1.0,100,0.96334,100.0
10.0,0.0001,0.13216,0.0001
10.0,scale,0.050760000000000007,0.001137
10.0,0.01,0.14642,0.01
10.0,1,0.96298,1.0
10.0,100,0.96334,100.0
100.0,0.0001,0.10148000000000001,0.0001
100.0,scale,0.05073999999999999,0.001137
100.0,0.01,0.14642,0.01
100.0,1,0.96298,1.0
100.0,100,0.96334,100.0
1000.0,0.0001,0.1,0.0001
1000.0,scale,0.05073999999999999,0.001137
1000.0,0.01,0.14642,0.01
1000.0,1,0.96298,1.0
1000.0,100,0.96334,100.0
10000.0,0.0001,0.10006,0.0001
10000.0,scale,0.05073999999999999,0.001137
10000.0,0.01,0.14642,0.01
10000.0,1,0.96298,1.0
10000.0,100,0.96334,100.0
